tok_s,wall_ms,dispatches,npu_ms,stage_in_ms,stage_out_ms,stage_out_gb,epi_thread_ms,sync_in_ms,sync_out_ms,arena_mib,rep,cell,prompt,ub,threads,tiles,variant,direct,async_on
1200.22,1706.3538351302261,321.0,407.3666666666666,33.0,172.6,2.27,619.8000000000001,10.666666666666666,40.0,0.0,4,pp2048 ub2048 t15,2048,2048,15,auto,A sync+g_acc,0,0
1249.64,1638.8719951345986,321.0,406.93333333333334,32.03333333333333,172.63333333333333,2.27,619.3666666666667,11.0,35.666666666666664,0.0,4,pp2048 ub2048 t15,2048,2048,15,auto,B async+g_acc,0,1
1275.63,1605.4812132044558,321.0,400.8666666666666,31.866666666666664,0.0,0.0,712.5333333333333,11.0,36.0,30.0,4,pp2048 ub2048 t15,2048,2048,15,auto,C sync+direct,1,0
1274.71,1606.6399416337833,321.0,401.0333333333333,32.53333333333333,0.0,0.0,717.7666666666668,11.0,36.333333333333336,30.0,4,pp2048 ub2048 t15,2048,2048,15,auto,D async+direct,1,1
815.42,2511.5891197174465,321.0,375.5,32.4,151.56666666666666,2.27,551.5666666666667,10.0,35.666666666666664,0.0,4,pp2048 ub2048 t8,2048,2048,8,auto,A sync+g_acc,0,0
829.22,2469.790887822291,321.0,376.8333333333333,31.833333333333332,157.63333333333333,2.27,558.3666666666667,10.0,31.666666666666668,0.0,4,pp2048 ub2048 t8,2048,2048,8,auto,B async+g_acc,0,1
805.26,2543.277947495219,321.0,370.6666666666667,31.866666666666664,0.0,0.0,643.5,10.0,31.333333333333332,30.0,4,pp2048 ub2048 t8,2048,2048,8,auto,C sync+direct,1,0
824.58,2483.6886657449854,321.0,368.43333333333334,33.1,0.0,0.0,647.0333333333333,9.666666666666666,31.333333333333332,30.0,4,pp2048 ub2048 t8,2048,2048,8,auto,D async+direct,1,1
538.95,3799.9814454030984,642.0,739.3333333333334,58.46666666666667,283.6333333333333,4.543333333333334,627.0333333333333,18.666666666666668,73.33333333333333,0.0,4,pp2048 ub2048 t4,2048,2048,4,auto,A sync+g_acc,0,0
560.64,3652.968036529681,642.0,748.8000000000001,58.63333333333333,293.93333333333334,4.543333333333334,629.2666666666667,18.666666666666668,66.66666666666667,0.0,4,pp2048 ub2048 t4,2048,2048,4,auto,B async+g_acc,0,1
585.5,3497.865072587532,642.0,732.0,54.86666666666667,0.0,0.0,685.5333333333333,18.333333333333332,60.333333333333336,60.0,4,pp2048 ub2048 t4,2048,2048,4,auto,C sync+direct,1,0
585.81,3496.014065994094,642.0,725.7333333333332,54.699999999999996,0.0,0.0,682.9333333333334,18.333333333333332,61.0,60.0,4,pp2048 ub2048 t4,2048,2048,4,auto,D async+direct,1,1
926.62,2210.18324663832,642.0,748.5,54.199999999999996,303.76666666666665,4.543333333333334,1215.3999999999999,20.333333333333332,79.33333333333333,0.0,4,pp2048 allNPU t15,2048,2048,15,2,A sync+g_acc,0,0
1002.75,2042.3834455248068,642.0,751.2333333333332,54.300000000000004,316.53333333333336,4.543333333333334,1213.2333333333333,19.333333333333332,69.0,0.0,4,pp2048 allNPU t15,2048,2048,15,2,B async+g_acc,0,1
1079.1,1897.8778611806135,642.0,727.0333333333333,53.300000000000004,0.0,0.0,1297.3333333333333,20.0,63.0,60.0,4,pp2048 allNPU t15,2048,2048,15,2,C sync+direct,1,0
1069.33,1915.2179402055494,642.0,726.7333333333332,55.13333333333333,0.0,0.0,1304.1000000000001,19.666666666666668,63.333333333333336,60.0,4,pp2048 allNPU t15,2048,2048,15,2,D async+direct,1,1
975.67,4066.9488659075305,642.0,807.5333333333333,63.4,334.1333333333333,4.543333333333334,1239.1000000000001,22.333333333333332,81.33333333333333,0.0,4,pp3968 ub2048 t15,3968,2048,15,auto,A sync+g_acc,0,0
1001.4,3962.45256640703,642.0,817.6,65.73333333333333,360.3333333333333,4.543333333333334,1257.5333333333333,22.333333333333332,74.0,0.0,4,pp3968 ub2048 t15,3968,2048,15,auto,B async+g_acc,0,1
1016.93,3901.940153206219,642.0,814.0,65.23333333333333,0.0,0.0,1440.0,22.0,74.66666666666667,30.0,4,pp3968 ub2048 t15,3968,2048,15,auto,C sync+direct,1,0
1015.43,3907.7041253459124,642.0,807.8000000000001,64.2,0.0,0.0,1435.2666666666667,22.333333333333332,74.33333333333333,30.0,4,pp3968 ub2048 t15,3968,2048,15,auto,D async+direct,1,1
935.19,2189.9293191757824,642.0,740.1999999999999,57.1,326.96666666666664,4.543333333333334,1137.7666666666667,20.666666666666668,75.0,0.0,4,pp2048 ub1024 t15,2048,1024,15,auto,A sync+g_acc,0,0
1008.16,2031.4235835581655,642.0,748.5333333333333,57.26666666666667,334.8,4.543333333333334,1149.7,20.666666666666668,66.0,0.0,4,pp2048 ub1024 t15,2048,1024,15,auto,B async+g_acc,0,1
1092.94,1873.844858821161,642.0,737.8000000000001,58.333333333333336,0.0,0.0,1300.8666666666666,20.333333333333332,68.33333333333333,30.0,4,pp2048 ub1024 t15,2048,1024,15,auto,C sync+direct,1,0
1089.31,1880.0892307974775,642.0,740.5333333333333,58.56666666666666,0.0,0.0,1310.8333333333333,20.333333333333332,69.33333333333333,30.0,4,pp2048 ub1024 t15,2048,1024,15,auto,D async+direct,1,1
1215.72,1684.598427269437,321.0,406.4666666666667,31.666666666666668,166.1,2.27,635.3000000000001,11.0,40.333333333333336,0.0,5,pp2048 ub2048 t15,2048,2048,15,auto,A sync+g_acc,0,0
1247.96,1641.0782396871696,321.0,407.1333333333334,32.766666666666666,178.0,2.27,630.2333333333333,11.0,36.333333333333336,0.0,5,pp2048 ub2048 t15,2048,2048,15,auto,B async+g_acc,0,1
1265.0,1618.9723320158103,321.0,405.06666666666666,32.9,0.0,0.0,718.4666666666667,10.666666666666666,36.666666666666664,30.0,5,pp2048 ub2048 t15,2048,2048,15,auto,C sync+direct,1,0
1253.69,1633.5776786924996,321.0,402.23333333333335,32.53333333333333,0.0,0.0,710.3666666666667,11.333333333333334,36.0,30.0,5,pp2048 ub2048 t15,2048,2048,15,auto,D async+direct,1,1
817.12,2506.3638143724297,321.0,373.6333333333334,32.233333333333334,153.16666666666666,2.27,550.4,10.0,36.0,0.0,5,pp2048 ub2048 t8,2048,2048,8,auto,A sync+g_acc,0,0
829.22,2469.790887822291,321.0,376.73333333333335,32.666666666666664,157.29999999999998,2.27,557.8333333333334,9.666666666666666,32.0,0.0,5,pp2048 ub2048 t8,2048,2048,8,auto,B async+g_acc,0,1
822.48,2490.0301527088805,321.0,371.3333333333333,32.93333333333333,0.0,0.0,645.8000000000001,9.666666666666666,31.333333333333332,30.0,5,pp2048 ub2048 t8,2048,2048,8,auto,C sync+direct,1,0
821.8,2492.090532976393,321.0,371.1666666666667,32.93333333333333,0.0,0.0,650.4666666666667,9.666666666666666,31.0,30.0,5,pp2048 ub2048 t8,2048,2048,8,auto,D async+direct,1,1
541.27,3783.693905075101,642.0,730.3000000000001,58.23333333333333,283.3,4.543333333333334,627.4333333333333,18.333333333333332,73.66666666666667,0.0,5,pp2048 ub2048 t4,2048,2048,4,auto,A sync+g_acc,0,0
560.27,3655.380441572813,642.0,746.8333333333334,58.23333333333333,293.53333333333336,4.543333333333334,623.5333333333333,18.666666666666668,67.0,0.0,5,pp2048 ub2048 t4,2048,2048,4,auto,B async+g_acc,0,1
584.07,3506.4290239183656,642.0,728.6333333333333,54.76666666666667,0.0,0.0,683.6999999999999,18.666666666666668,61.666666666666664,60.0,5,pp2048 ub2048 t4,2048,2048,4,auto,C sync+direct,1,0
585.06,3500.495675657198,642.0,725.9,54.833333333333336,0.0,0.0,682.9666666666667,18.333333333333332,60.666666666666664,60.0,5,pp2048 ub2048 t4,2048,2048,4,auto,D async+direct,1,1
932.27,2196.788484022869,642.0,741.5333333333333,55.03333333333333,303.26666666666665,4.543333333333334,1226.3,20.0,78.66666666666667,0.0,5,pp2048 allNPU t15,2048,2048,15,2,A sync+g_acc,0,0
998.27,2051.549180081541,642.0,754.4,55.13333333333333,319.1333333333333,4.543333333333334,1237.3666666666666,19.333333333333332,69.66666666666667,0.0,5,pp2048 allNPU t15,2048,2048,15,2,B async+g_acc,0,1
1092.46,1874.6681800706663,642.0,721.5666666666666,52.13333333333333,0.0,0.0,1306.2333333333333,20.0,63.666666666666664,60.0,5,pp2048 allNPU t15,2048,2048,15,2,C sync+direct,1,0
1082.63,1891.689681608675,642.0,725.6999999999999,53.63333333333333,0.0,0.0,1304.2666666666667,20.0,64.0,60.0,5,pp2048 allNPU t15,2048,2048,15,2,D async+direct,1,1
969.74,4091.818425557366,642.0,811.1,63.96666666666667,336.3333333333333,4.543333333333334,1243.7666666666667,22.0,81.66666666666667,0.0,5,pp3968 ub2048 t15,3968,2048,15,auto,A sync+g_acc,0,0
1000.46,3966.1755592427485,642.0,814.1999999999999,64.16666666666667,349.8666666666666,4.543333333333334,1284.1333333333334,22.666666666666668,74.33333333333333,0.0,5,pp3968 ub2048 t15,3968,2048,15,auto,B async+g_acc,0,1
1014.56,3911.0550386374393,642.0,807.9666666666667,62.86666666666667,0.0,0.0,1440.1333333333332,22.333333333333332,74.33333333333333,30.0,5,pp3968 ub2048 t15,3968,2048,15,auto,C sync+direct,1,0
1012.78,3917.928869053497,642.0,813.6666666666666,63.36666666666667,0.0,0.0,1437.4333333333334,22.666666666666668,74.0,30.0,5,pp3968 ub2048 t15,3968,2048,15,auto,D async+direct,1,1
924.27,2215.802741623119,642.0,749.9,57.46666666666667,328.3,4.543333333333334,1151.0,20.666666666666668,76.66666666666667,0.0,5,pp2048 ub1024 t15,2048,1024,15,auto,A sync+g_acc,0,0
1007.46,2032.8350505230976,642.0,750.6999999999999,57.5,339.53333333333336,4.543333333333334,1156.7,20.666666666666668,66.0,0.0,5,pp2048 ub1024 t15,2048,1024,15,auto,B async+g_acc,0,1
1082.81,1891.375218182322,642.0,735.1333333333333,60.699999999999996,0.0,0.0,1312.1000000000001,20.0,68.66666666666667,30.0,5,pp2048 ub1024 t15,2048,1024,15,auto,C sync+direct,1,0
1081.98,1892.8261150853066,642.0,743.3666666666667,58.4,0.0,0.0,1314.1333333333334,20.333333333333332,69.33333333333333,30.0,5,pp2048 ub1024 t15,2048,1024,15,auto,D async+direct,1,1
