wall_ns,acquisitions,immediate,waited,wait_ns,hold_ns,wait_max_ns,hold_max_ns,waiters_now,waiters_max
1788210818436156019,6528,6528,0,0,46533798586,0,170221111,0,0
1788210818940819773,6560,6560,0,0,46747731865,0,170221111,0,0
1788210819425492920,6592,6592,0,0,46973796508,0,170221111,0,0
1788210819987808831,6624,6624,0,0,47190978300,0,170221111,0,0
1788210820488405715,6656,6656,0,0,47412429964,0,170221111,0,0
1788210821006320859,6688,6688,0,0,47635404700,0,170221111,0,0
1788210821494965318,6720,6720,0,0,47860613255,0,170221111,0,0
1788210822000686535,6752,6752,0,0,48074851520,0,170221111,0,0
1788210823606191827,6784,6784,0,0,48285075820,0,170221111,0,0
1788210824092563192,6816,6816,0,0,48511199869,0,170221111,0,0
1788210824574332387,6848,6848,0,0,48730858518,0,170221111,0,0
1788210825084784194,6880,6880,0,0,48951197830,0,170221111,0,0
1788210825638816802,6912,6912,0,0,49170390183,0,170221111,0,0
1788210826167401627,6944,6944,0,0,49423909107,0,170221111,0,0
1788210826694188318,6976,6976,0,0,49643486142,0,170221111,0,0
1788210827187817496,7008,7008,0,0,49869937665,0,170221111,0,0
1788210827673471996,7040,7040,0,0,50089978390,0,170221111,0,0
1788210829298375084,7072,7072,0,0,50308755144,0,170221111,0,0
1788210829810440073,7104,7104,0,0,50529213503,0,170221111,0,0
1788210830299464828,7136,7136,0,0,50754989684,0,170221111,0,0
1788210830807185994,7168,7168,0,0,50969504439,0,170221111,0,0
1788210831314992537,7200,7200,0,0,51207759181,0,170221111,0,0
1788210831888918572,7232,7232,0,0,51435444548,0,170221111,0,0
1788210832382300426,7264,7264,0,0,51661597999,0,170221111,0,0
1788210832895849263,7296,7296,0,0,51882026124,0,170221111,0,0
1788210833383477862,7328,7328,0,0,52107381743,0,170221111,0,0
1788210835005849318,7360,7360,0,0,52319300215,0,170221111,0,0
1788210835511279455,7392,7392,0,0,52532124999,0,170221111,0,0
1788210835998137833,7424,7424,0,0,52757829727,0,170221111,0,0
1788210836497880924,7456,7456,0,0,52986783149,0,170221111,0,0
1788210837011606888,7488,7488,0,0,53206747528,0,170221111,0,0
1788210837593061017,7520,7520,0,0,53442350343,0,170221111,0,0
1788210838078366513,7552,7552,0,0,53666767216,0,170221111,0,0
1788210838584484046,7584,7584,0,0,53880059493,0,170221111,0,0
1788210839068430237,7616,7616,0,0,54105232247,0,170221111,0,0
